delta,R,C,L,W,step
3, 0.6850210345150579,0.026476190476190473,3.422020202020202,-0.31691296617567605,135
2, 0.6850360594191363,0.026142857142857138,3.422222222222222,-0.3169200992771975,136
28, 0.6853713931992821,0.026142857142857138,3.425050505050505,-0.32230433943513515,137
8, 0.6856718199184964,0.02595238095238095,3.418181818181818,-0.32154498587586977,138
2, 0.6885573742047897,0.02595238095238095,3.417373737373737,-0.3230300526281431,139
3, 0.689678301945478,0.02595238095238095,3.4256565656565656,-0.32395380896927595,140
3, 0.6897683221036822,0.025285714285714286,3.431111111111111,-0.3249999914157619,141
13, 0.6902360645086395,0.025285714285714286,3.451919191919192,-0.3252834058098441,142
3, 0.6907018473131868,0.025285714285714286,3.459191919191919,-0.32632570852494247,143
3, 0.6910687034254325,0.02595238095238095,3.466666666666667,-0.3305877829805679,144
1, 0.6943594220599832,0.02576190476190476,3.4696969696969697,-0.3252197822393474,145
12, 0.6960971722823495,0.02609523809523809,3.4727272727272727,-0.3287769579318265,146
1, 0.6974417829051284,0.027761904761904762,3.4727272727272727,-0.33462662726008413,147
11, 0.699259751810273,0.027761904761904762,3.474141414141414,-0.32532190033299496,148
8, 0.700368051682836,0.027761904761904762,3.4686868686868686,-0.32211332203894244,149
21, 0.7029380209818337,0.027761904761904762,3.4765656565656564,-0.3223362721783837,150
5, 0.7048586259189844,0.027761904761904762,3.4761616161616162,-0.34232396410770594,151
4, 0.7049079960345155,0.02757142857142857,3.475959595959596,-0.34558983256532994,152
5, 0.7087387628643751,0.026904761904761904,3.4703030303030302,-0.354902207709591,153
8, 0.712125720111693,0.02142857142857143,3.4676767676767675,-0.355755629728109,154
6, 0.7129272614225094,0.02142857142857143,3.4703030303030302,-0.35488949307543866,155
2, 0.7151583313167894,0.02142857142857143,3.4745454545454546,-0.35414022027399666,156
3, 0.7158042844000302,0.02142857142857143,3.474141414141414,-0.35034833209037136,157
3, 0.7189518889737264,0.02142857142857143,3.46989898989899,-0.35214679811269833,158
